month_date,dpd_bucket,grade,balance,count,gco_amount,recovery_amount,nco_amount,loss_rate,total_ecl_simple,total_ecl_dcf,alll_ratio_simple,alll_ratio_dcf
2014-10-01,150+,G,263843.7787493744,15,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,180+,A,297046.3356978858,53,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,180+,B,1224442.4539559581,180,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,180+,C,2622271.866060877,296,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,180+,D,2041097.6692556746,207,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,180+,E,1621306.9612466358,116,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,180+,F,1256064.7800644492,77,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,180+,G,273408.93126918876,14,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,GCO,A,235194.37151743323,38,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,GCO,B,1343765.3198725139,203,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,GCO,C,2489469.8343972615,284,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,GCO,D,1809064.2265236517,199,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,GCO,E,1607430.204810351,133,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,GCO,F,867442.2960322424,58,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,GCO,G,349867.70186151064,18,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-11-01,Current,A,582346257.9782362,54342,280949.2712305392,207444.1,73505.17123053918,0.00012566511778466338,655551.8651790189,-2360489.4782338655,0.0011207375069340803,-0.004035514554226029
2014-11-01,Current,B,1013238382.0260482,102107,1166549.0304753406,703629.9,462919.1304753405,0.00045094776138800613,2605394.2435068726,-3740907.1084857965,0.0025380171703774687,-0.0036441649849292893
2014-11-01,Current,C,1100028499.7065022,94093,2529640.6448016614,586619.07,1943021.5748016615,0.0017316283889061484,5234039.486124542,-5464368.851571503,0.004664596358768777,-0.004869866785602514
2014-11-01,Current,D,711462431.4484947,55627,1972894.622318535,470426.58,1502468.042318535,0.0020528692260229414,5180143.778853664,-3914309.4701882564,0.00707779297160475,-0.005348243840234727
