month_date,grade,total_ecl_dcf,total_balance,ecl_rate_dcf
2019-02-01,E,9282980.714779697,54393411.41856148,0.1706636975450289
2019-02-01,F,3755486.7888938882,20377501.30065021,0.18429574526755435
2019-02-01,G,1275093.1822813211,8994758.209813781,0.14175958403085517
2019-03-01,A,6200691.4502254035,26912596.85935635,0.23040108253506164
2019-03-01,B,16822146.036600456,61620635.22268141,0.27299533631565903
2019-03-01,C,24504919.833904486,107078202.51879816,0.22885068349557433
2019-03-01,D,14552960.63356033,74679681.82304679,0.19487175464999318
2019-03-01,E,9185221.19069049,35916110.48603329,0.25574097713788774
2019-03-01,F,3728215.5866696974,14542494.911108317,0.2563669858204242
2019-03-01,G,1277516.8921508037,6520739.738297721,0.19591594564764936
2019-04-01,A,5896386.821010431,8342826.425251635,0.7067612965269843
2019-04-01,B,17078244.101368424,29797744.273100242,0.5731388236922926
2019-04-01,C,24685434.831184365,60554750.29439447,0.4076548034823535
2019-04-01,D,14626429.374283206,46553982.24900194,0.3141821315317612
2019-04-01,E,9139949.213233018,23188366.354763467,0.39416098026911867
2019-04-01,F,3712586.621005636,9545674.772523073,0.38892867287833865
2019-04-01,G,1286546.8003558428,4263072.075214692,0.3017886579576657
2019-05-01,A,5898283.163304459,6088143.1921444675,0.9688147891979636
2019-05-01,B,17408827.38941798,20362989.917943586,0.8549249132651959
2019-05-01,C,24957932.41348788,40140844.32791696,0.6217590295212166
2019-05-01,D,14621644.890729291,31313542.970809683,0.4669431659125737
2019-05-01,E,9084424.347628605,16497174.05630747,0.5506654846837419
2019-05-01,F,3700220.6301317904,6859993.048348439,0.5393913090076131
2019-05-01,G,1292326.0282236629,3104325.781698316,0.4162984554786826
2019-06-01,A,5747894.186088176,3077497.061686669,1.8677171970841642
2019-06-01,B,17241153.500534795,10150735.204581665,1.6985127828723952
2019-06-01,C,25063583.93629536,18707285.880406804,1.3397766034326692
2019-06-01,D,14655197.140279597,14688432.903493155,0.9977372832464889
2019-06-01,E,9064443.70970667,8993310.136577543,1.007909609704197
2019-06-01,F,3686161.3752287948,3451135.3715389622,1.0681010677321034
2019-06-01,G,1293943.7698422526,1812354.9504674475,0.7139571470304507
2019-07-01,A,5879534.4631331535,2030040.9561524077,2.8962639622191646
2019-07-01,B,17106017.401146423,6165066.633054132,2.7746686969175904
2019-07-01,C,24734588.394484326,10888455.35638979,2.271634275468564
2019-07-01,D,14308300.739944713,8841760.908361483,1.6182637020204458
2019-07-01,E,8881014.325032419,5547816.834647912,1.6008124618620445
2019-07-01,F,3628910.713546634,2232311.2269641142,1.625629378965163
2019-07-01,G,1279529.6765500999,1262904.4256425556,1.0131642985565479
2019-08-01,A,6005312.284748282,1534984.3491701493,3.9122954497841644
2019-08-01,B,16654623.300375748,4289468.268277893,3.882677818960096
2019-08-01,C,24417477.09960966,7983226.484942085,3.0585975664934177
2019-08-01,D,14062539.167340687,6316361.419349477,2.226367086003288
2019-08-01,E,8759800.7737292,4235085.807421112,2.068388026136202
2019-08-01,F,3578505.9732696502,1706929.9815539266,2.0964573895479353
2019-08-01,G,1255232.3670739585,920905.883976499,1.363040880631393
2019-09-01,A,6171022.8342291955,1051945.337671722,5.866296102312277
2019-09-01,B,16560493.48186074,2953192.868014063,5.607657278746306
2019-09-01,C,24211791.403267004,5298419.051353413,4.569625612583892
2019-09-01,D,13958970.62877636,4288065.88383996,3.2553069395184084
2019-09-01,E,8726779.274228143,3138641.8958995836,2.780431652820626
2019-09-01,F,3539652.572455117,1394820.0373033239,2.5377127355429354
2019-09-01,G,1240404.320838518,790090.1873429955,1.56995282400594
2019-10-01,A,6153654.677832346,853353.2349437831,7.2111458957998025
2019-10-01,B,16000116.20605182,2346609.4424071615,6.818397606735459
2019-10-01,C,23558441.798178364,3763118.338621797,6.260351038231341
2019-10-01,D,13542248.836399727,3076722.8916645576,4.40151723546125
2019-10-01,E,8467572.518559989,2405589.1614223225,3.5199578774097375
2019-10-01,F,3437534.585147908,1049531.6135044768,3.2753035172229663
2019-10-01,G,1216161.0743669898,695699.2539947989,1.7481132362635563
2019-11-01,A,6147642.1747548245,709026.2310609679,8.670542647703819
2019-11-01,B,15426869.770599721,2009998.2029471532,7.675066449303349
2019-11-01,C,22903257.17555149,2905113.639910465,7.883773240711286
2019-11-01,D,13169574.63536083,2439220.063690681,5.399092452295797
2019-11-01,E,8276703.695163427,1917716.5464044765,4.31591608816298
2019-11-01,F,3365015.4580796543,895705.1408480845,3.7568339229286343
2019-11-01,G,1195013.7221601952,656511.2617871724,1.8202486259064272
2019-12-01,A,6100782.658644783,667935.029958119,9.133796529622522
2019-12-01,B,14957333.300085202,1914852.313120892,7.811220321063417
2019-12-01,C,22348537.12730967,2769344.911361419,8.069972445694045
2019-12-01,D,12817579.13854174,2325493.660069283,5.51176696743171
2019-12-01,E,8162461.39239851,1837489.0038279647,4.442182443211356
2019-12-01,F,3309283.6650871886,850317.2747541126,3.891822221351599
2019-12-01,G,1178606.3321444371,628891.9551926537,1.8740998710714702
2020-01-01,A,5994135.809163835,627416.3549588252,9.553681158912738
2020-01-01,B,14360186.123355096,1822559.4758808964,7.879131690017632
2020-01-01,C,21574018.12919061,2634722.466748539,8.18834560431509
2020-01-01,D,12279869.087074943,2212798.1866229866,5.549475393332456
2020-01-01,E,7854369.247363636,1759067.346695769,4.465075917711324
2020-01-01,F,3183056.1387430886,805641.1546616756,3.950960201480515
2020-01-01,G,1139840.9158771203,601862.1667259143,1.8938570637821788
