month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2016-08-01,D,10469972.254390605,1129335485.3422759,97154,0.00927091408202532
2016-08-01,E,8571151.364389453,676761211.4493616,48516,0.012664956589390446
2016-08-01,F,3863007.0230490468,242554182.39995354,15778,0.01592636739893126
2016-08-01,G,1139773.5385211173,62722155.83808197,3769,0.018171785125872537
2016-09-01,A,1354149.1095148318,1190258719.5917177,125797,0.001137693080693693
2016-09-01,B,5841935.639083289,1837696991.416778,199396,0.0031789438990044985
2016-09-01,C,11983754.504927313,1982853766.820341,192851,0.006043690515889221
2016-09-01,D,10400153.02602653,1116644510.1677744,96868,0.009313754674228346
2016-09-01,E,8470623.444881735,663847843.8351002,48072,0.012759886958352219
2016-09-01,F,3845324.2460315865,239939837.17215964,15702,0.016026201781876352
2016-09-01,G,1136740.0956798708,62247437.94861218,3752,0.018261636673597658
2016-10-01,A,1306149.3785265854,1149537206.5848823,124959,0.001136239324003245
2016-10-01,B,5762191.634558748,1811075486.9887993,199559,0.003181640785243749
2016-10-01,C,11908638.98976374,1966216587.3579888,193616,0.00605662624673786
2016-10-01,D,10352235.650422081,1107566048.9002233,96796,0.009346833681568257
2016-10-01,E,8354351.664804396,650554842.0105764,47587,0.012841886840753967
2016-10-01,F,3814129.9490046045,236372115.13775772,15593,0.016136124799584456
2016-10-01,G,1131470.522112954,61657623.3713437,3740,0.01835086174662421
2016-11-01,A,1255812.2286870088,1106635592.702808,123751,0.0011348019501341514
2016-11-01,B,5681256.34079915,1781065325.7341244,199242,0.003189807952977488
2016-11-01,C,11841458.945718411,1949183864.4486647,194105,0.006075085661078884
2016-11-01,D,10295187.108779756,1096251364.0004058,96451,0.009391265039079071
2016-11-01,E,8203222.1165135205,634965699.6696308,46986,0.012919157870703272
2016-11-01,F,3721988.9260571636,229129800.848973,15304,0.01624401938231705
2016-11-01,G,1098530.93391242,59614532.340913326,3657,0.018427233944071395
2016-12-01,A,1208389.0340945395,1065723514.7365837,122351,0.0011338672905169204
2016-12-01,B,5578278.428283876,1745135410.9392402,198549,0.0031964731179694645
2016-12-01,C,11760235.983376496,1928828142.0533633,194638,0.006097088551837986
2016-12-01,D,10286396.083407773,1090330313.4408898,96657,0.00943420168787725
2016-12-01,E,8100869.88864023,623206681.673295,46580,0.012998689081589415
2016-12-01,F,3686514.277984667,224898454.7180907,15151,0.016391905771899133
2016-12-01,G,1091322.8744076812,58933475.14806232,3639,0.018517877516401014
2017-01-01,A,1159663.8292626808,1024571747.2683699,120560,0.0011318522420264686
2017-01-01,B,5440956.1787387645,1699869982.805545,196719,0.0032008072580696763
2017-01-01,C,11594587.217700576,1897456954.2738705,193675,0.006110593018505476
2017-01-01,D,10107719.670159843,1070124985.8309556,95829,0.009445363676198219
2017-01-01,E,7909792.283468461,606275828.2107079,45802,0.013046524231078951
2017-01-01,F,3600281.3841413413,218703803.23154655,14861,0.016461905695940932
2017-01-01,G,1074444.043494073,57785085.08415051,3599,0.01859379530080116
2017-02-01,A,1105773.3753906847,979542741.0831734,118325,0.0011288668978016478
2017-02-01,B,5266674.661327468,1642180439.581903,193687,0.0032071230020669084
2017-02-01,C,11373512.948884036,1852710566.3078427,191369,0.006138850371836351
2017-02-01,D,9762364.098572794,1032487418.8904092,93863,0.009455189399851656
2017-02-01,E,7628740.141610463,583483158.9774991,44649,0.013074482140974099
2017-02-01,F,3495341.988326633,211791489.94120264,14513,0.016503694219711124
2017-02-01,G,1050919.5454397474,56418950.017886735,3509,0.01862706670554078
2017-03-01,A,1065258.4469748053,946131155.0264411,116847,0.001125909913562708
2017-03-01,B,5139552.792313841,1600395165.508361,191466,0.0032114273418723284
2017-03-01,C,11261599.179860055,1825379920.180334,189914,0.006169454947629474
2017-03-01,D,9512445.26073458,1005180513.1934904,92216,0.009463419889143334
2017-03-01,E,7387620.97968065,564211699.5090178,43644,0.01309370398754479
2017-03-01,F,3414230.6863076347,206128722.3661534,14200,0.016563585351501
2017-03-01,G,1037518.5736404486,55632541.380028844,3473,0.018649490889749296
2017-04-01,A,1009579.4719176923,897893157.9119431,113597,0.0011243870866167157
2017-04-01,B,4923905.381074996,1529284703.7335093,186014,0.003219744086273832
2017-04-01,C,10937924.598424694,1762800569.3476284,185252,0.006204856515602651
2017-04-01,D,9119632.46727335,961495902.7288888,89247,0.009484837575896354
2017-04-01,E,7044210.910922673,536091170.7473518,41949,0.013139949499825762
2017-04-01,F,3280531.249893706,197222201.23019883,13698,0.016633681347388733
2017-04-01,G,1000710.1381368764,53442346.182588205,3375,0.018725041275656287
2017-05-01,A,969721.5509120025,863598594.1431125,111844,0.0011228845872244479
2017-05-01,B,4783045.9950450035,1481777591.8518422,183047,0.0032279108695842957
2017-05-01,C,10765475.625599883,1727751720.9532309,183290,0.006230915874683883
2017-05-01,D,8837444.44985203,929439159.8092945,87303,0.009508362496438527
2017-05-01,E,6781201.483432471,515359313.5350483,40749,0.013158201094528775
2017-05-01,F,3178195.1917725294,190599872.1956834,13328,0.016674697391767232
2017-05-01,G,985319.0891505694,52707263.43533361,3336,0.018694180363954097
2017-06-01,A,929300.496210685,827510733.0004052,109727,0.0011230071818418698
2017-06-01,B,4624555.667761373,1428614653.2810163,179316,0.0032370910218094324
2017-06-01,C,10529177.79563627,1680014615.533261,180129,0.0062673132116140284
2017-06-01,D,8524524.532262938,891834040.7234777,84932,0.009558420225076443
2017-06-01,E,6493537.305052975,492245347.0369525,39397,0.013191668228334742
2017-06-01,F,3070027.5944093033,183292651.57645914,12858,0.016749321743150542
2017-06-01,G,1003509.1963080483,54085496.02845171,3403,0.018554127631188806
2017-07-01,A,883261.3633157999,786961188.2609637,107243,0.001122369662559397
2017-07-01,B,4449482.578745529,1369849138.648225,175208,0.0032481551823555577
2017-07-01,C,10301625.984357493,1633440751.5799296,176939,0.006306703181240793
2017-07-01,D,8253873.7415588545,858397069.8001444,82753,0.009615449576826439
2017-07-01,E,6230515.218237151,470472067.702286,38066,0.013243113982655845
2017-07-01,F,2954577.7460765555,175457288.8388916,12382,0.016839298986259316
2017-07-01,G,1066321.208532276,57443978.514696315,3563,0.01856280216140446
2017-08-01,A,840500.1479774382,750573784.6683574,104832,0.00111981015743684
2017-08-01,B,4285340.537555464,1316040387.4383354,171083,0.0032562378620437727
2017-08-01,C,10079846.565765033,1589147170.763822,173682,0.006342928302178686
2017-08-01,D,7983902.927587722,826185433.4544178,80400,0.00966357261251352
2017-08-01,E,5969007.581715123,449673477.1666705,36782,0.013274093058200813
2017-08-01,F,2807172.1148029845,166505279.5568011,11850,0.016859357987176343
2017-08-01,G,1070231.8429419587,57643969.73972146,3584,0.018566241148455818
