month_date,ftr,grade
2014-03-01,0.002206059414789531,C
2014-04-01,0.0034008063104504537,C
2014-05-01,0.0032586139179513586,C
2014-06-01,0.0032501718968108973,C
2014-07-01,0.0029912612741764613,C
2014-08-01,0.0037646573010257324,C
2014-09-01,0.0034190934694524043,C
2014-10-01,0.0038138425711664015,C
2014-11-01,0.0036052740070449704,C
2014-12-01,0.002989022008211829,C
2015-01-01,0.003203156369805881,C
2015-02-01,0.003465044427433693,C
2015-03-01,0.0033143157022695767,C
2015-04-01,0.004310869449213135,C
2015-05-01,0.003920612304513743,C
2015-06-01,0.004044379699115149,C
2015-07-01,0.004536530077668543,C
2015-08-01,0.004981365091544128,C
2015-09-01,0.004134736655249142,C
2015-10-01,0.004659275435147769,C
2015-11-01,0.004986810597360614,C
2015-12-01,0.004049483152182718,C
2016-01-01,0.0045592265038627115,C
2016-02-01,0.004111454988307129,C
2016-03-01,0.004627997678181076,C
2016-04-01,0.005724155487991895,C
2016-05-01,0.005061399757630666,C
2016-06-01,0.006080854079554142,C
2016-07-01,0.007031163975336001,C
2016-08-01,0.007099219562199335,C
2016-09-01,0.0075242494157676055,C
2016-10-01,0.008281438433308334,C
2016-11-01,0.008100171895161953,C
2016-12-01,0.00764377162885403,C
2017-01-01,0.007797043574307617,C
2017-02-01,0.008674963758004708,C
2017-03-01,0.006661295373525171,C
2017-04-01,0.01018221071862411,C
2017-05-01,0.008915415428698423,C
2017-06-01,0.00925685978958912,C
2017-07-01,0.0108219298708324,C
2017-08-01,0.01089229246882083,C
2017-09-01,0.012546460804840433,C
2017-10-01,0.011450706291772236,C
2017-11-01,0.013327295185467068,C
2017-12-01,0.013142273230924085,C
2018-01-01,0.01240706633193524,C
2018-02-01,0.01668121040838011,C
2018-03-01,0.014261426601620683,C
2018-04-01,0.018994804700126273,C
2018-05-01,0.019228041124108555,C
2018-06-01,0.02267583351210065,C
2018-07-01,0.026256497246174994,C
2018-08-01,0.031820815077755145,C
2018-09-01,0.042431647652996285,C
2018-10-01,0.044155911471392154,C
2018-11-01,0.05990800255592333,C
2018-12-01,0.028221690272922473,C
2019-01-01,0.01279481643889566,C
2019-02-01,0.01730519959165214,C
