month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2015-08-01,-24143242.975766566,11101459.519030929,10617528.610630076,-24143242.975766566,-0.2161480912827428
2015-09-01,-23405894.484940965,10189070.715481227,10926419.206306828,-23405894.484940965,-0.20028943738911262
2015-10-01,-25241431.94708437,14789164.30131441,12953626.839171004,-25241431.94708437,-0.20206727164563454
2015-11-01,-25058921.481048927,14441968.18642381,14624478.652459254,-25058921.481048927,-0.1888986819417657
2015-12-01,-25605144.09107391,16927596.747356668,16381374.137331683,-25605144.09107391,-0.18079861559647775
2016-01-01,-37591424.36501822,17869837.358639736,5883557.084695429,-37591424.36501822,-0.25009811490219735
2016-02-01,-50463841.14041506,22796403.89651922,9923987.121122383,-50463841.14041506,-0.30862937955780284
2016-03-01,-70358965.0399079,21676575.83114373,1781451.9316508844,-70358965.0399079,-0.40394980982106743
2016-04-01,-71642972.00707783,21555268.493755143,20271261.526585218,-71642972.00707783,-0.3887597809735521
2016-05-01,-68600081.49351574,25934818.99561696,28977709.509179045,-68600081.49351574,-0.34788672803783893
2016-06-01,-67430769.45415588,17891853.130623803,19061165.16998367,-67430769.45415588,-0.3275808663954757
2016-07-01,-66416759.29925771,21750649.79125056,22764659.946148727,-66416759.29925771,-0.30617430570638443
2016-08-01,-64951230.96097683,19218588.52567377,20684116.86395465,-64951230.96097683,-0.2886185238609583
2016-09-01,-59559267.823342234,22033492.432772014,27425455.570406612,-59559267.823342234,-0.25142563549649044
2016-10-01,-55449714.979181975,31307996.714445513,35417549.558605775,-55449714.979181975,-0.21881850798307495
2016-11-01,-51368405.75293147,26144225.765044358,30225534.991294865,-51368405.75293147,-0.19376457858485574
2016-12-01,-47118392.77898953,35492606.45160973,39742619.42555167,-47118392.77898953,-0.16610148361672017
2017-01-01,-41634345.40118678,39950064.75920826,45434112.137011014,-41634345.40118678,-0.13617006991749067
2017-02-01,-34736037.37881464,42265458.55056055,49163766.57293269,-34736037.37881464,-0.10680728905596884
2017-03-01,-30238295.17881041,43408018.99000849,47905761.190012716,-30238295.17881041,-0.087153855035139
