month_date,grade,total_balance,current_balance,delinquent_balance,gco_balance,ecl_simple,ecl_rate
2009-07-01,F,598244.92,542038.67,56206.25,0.0,192752.17,0.322196
2009-07-01,G,158779.22,138379.22,20400.0,0.0,58030.72,0.365481
2009-08-01,A,5626408.52,5610683.52,15725.0,0.0,182647.28,0.032462
2009-08-01,B,9464778.91,9174907.66,175525.0,114346.25,802658.6,0.084805
2009-08-01,C,8691046.82,8267874.32,278757.5,144415.0,1310021.54,0.150732
2009-08-01,D,4966252.57,4530096.32,191866.25,244290.0,1113380.26,0.224189
2009-08-01,E,2289318.13,2104868.13,137700.0,46750.0,627541.12,0.274117
2009-08-01,F,610918.18,533461.93,77456.25,0.0,195344.9,0.319756
2009-08-01,G,161249.0,140849.0,20400.0,0.0,58969.45,0.365704
2009-09-01,A,6347491.78,6319654.28,27837.5,0.0,207605.45,0.032707
2009-09-01,B,10806687.05,10432984.55,227056.25,146646.25,927717.45,0.085847
2009-09-01,C,9483163.66,8943923.66,365563.75,173676.25,1442034.21,0.152063
2009-09-01,D,5251913.86,4776891.36,208356.25,266666.25,1181410.71,0.224949
2009-09-01,E,2536727.71,2343777.71,91566.25,101383.75,717985.06,0.283036
2009-09-01,F,701548.96,590092.71,105931.25,5525.0,225267.23,0.3211
2009-09-01,G,163195.43,142795.43,20400.0,0.0,59709.26,0.365876
2009-10-01,A,7089118.69,7048531.19,40587.5,0.0,233319.57,0.032912
2009-10-01,B,12437747.66,12003865.16,247541.25,186341.25,1074731.07,0.086409
2009-10-01,C,10539526.19,9942613.69,384561.25,212351.25,1610326.66,0.152789
2009-10-01,D,6088010.43,5584534.18,194267.5,309208.75,1368092.61,0.224719
2009-10-01,E,2868189.51,2631910.76,134895.0,101383.75,805391.98,0.280802
2009-10-01,F,795983.74,684527.49,104125.0,7331.25,257207.97,0.323132
2009-10-01,G,180170.47,155520.47,4250.0,20400.0,75771.25,0.420553
2009-11-01,A,7841546.78,7780346.78,45475.0,15725.0,266005.16,0.033923
2009-11-01,B,13926826.11,13409686.11,316795.0,200345.0,1204183.22,0.086465
2009-11-01,C,11641749.96,10985953.71,420303.75,235492.5,1778835.87,0.152798
2009-11-01,D,7191786.59,6615444.09,239763.75,336578.75,1603271.33,0.222931
2009-11-01,E,3120458.49,2858679.74,151895.0,109883.75,875927.55,0.280705
2009-11-01,F,823761.54,712305.29,84575.0,26881.25,275605.41,0.334569
2009-11-01,G,259555.43,234905.43,4250.0,20400.0,105944.33,0.408176
2009-12-01,A,8703605.86,8633077.11,54803.75,15725.0,295051.95,0.0339
2009-12-01,B,16335283.26,15736883.26,386516.25,211883.75,1402833.64,0.085878
2009-12-01,C,12811457.29,12133051.04,387918.75,290487.5,1966890.86,0.153526
2009-12-01,D,7996615.35,7390246.6,235853.75,370515.0,1780044.37,0.2226
2009-12-01,E,3265032.19,2991353.44,163795.0,109883.75,914220.83,0.280004
2009-12-01,F,938818.28,814612.03,87975.0,36231.25,316957.72,0.337613
2009-12-01,G,334496.67,309846.67,4250.0,20400.0,134428.43,0.401883
2010-01-01,A,9447909.87,9350606.12,81578.75,15725.0,323004.79,0.034188
2010-01-01,B,17982425.0,17308566.25,405917.5,267941.25,1559046.18,0.086698
2010-01-01,C,13819030.78,13100143.28,343315.0,375572.5,2145838.02,0.155281
2010-01-01,D,8803192.88,8106936.63,301452.5,394803.75,1954853.21,0.222062
2010-01-01,E,3555353.81,3258300.06,126522.5,170531.25,1018467.66,0.28646
2010-01-01,F,1003989.26,879783.01,68000.0,56206.25,347865.32,0.346483
2010-01-01,G,357095.86,332445.86,4250.0,20400.0,143018.05,0.400503
2010-02-01,A,10159092.4,10030338.65,105378.75,23375.0,353250.32,0.034772
2010-02-01,B,20050016.37,19270757.62,471686.25,307572.5,1745031.78,0.087034
2010-02-01,C,14984743.78,14180835.03,367391.25,436517.5,2340644.37,0.156202
2010-02-01,D,9617413.65,8869732.4,311525.0,436156.25,2137339.39,0.222236
2010-02-01,E,3680141.05,3340757.3,154933.75,184450.0,1057019.77,0.287223
2010-02-01,F,1096867.51,939511.26,45900.0,111456.25,402127.0,0.366614
2010-02-01,G,377479.51,352829.51,4250.0,20400.0,150765.59,0.399401
2010-03-01,A,11397781.09,11269027.34,105378.75,23375.0,392929.81,0.034474
2010-03-01,B,22774447.15,21995188.4,463186.25,316072.5,1956694.15,0.085916
2010-03-01,C,16670294.16,15853635.41,380141.25,436517.5,2577902.83,0.154641
2010-03-01,D,10804484.01,10056802.76,311525.0,436156.25,2375260.92,0.21984
2010-03-01,E,4081306.39,3741922.64,154933.75,184450.0,1164073.95,0.285221
2010-03-01,F,1228593.82,1071237.57,45900.0,111456.25,445488.32,0.3626
2010-03-01,G,447479.51,422829.51,4250.0,20400.0,177371.58,0.396379
2010-04-01,A,12229836.71,12074732.96,114516.25,40587.5,429559.46,0.035124
2010-04-01,B,25600080.38,24703564.13,486688.75,409827.5,2222271.17,0.086807
2010-04-01,C,18289891.5,17337679.0,383435.0,568777.5,2869245.46,0.156876
2010-04-01,D,11754317.5,10937276.25,336918.75,480122.5,2586593.96,0.220055
2010-04-01,E,4366369.27,3947404.27,190952.5,228012.5,1257859.15,0.288079
2010-04-01,F,1268609.82,1111253.57,45900.0,111456.25,458660.68,0.361546
2010-04-01,G,460752.15,421864.65,18487.5,20400.0,180797.87,0.392397
2010-05-01,A,13535982.1,13351043.35,127776.25,57162.5,481691.16,0.035586
2010-05-01,B,28181235.27,27182740.27,556112.5,442382.5,2444508.08,0.086742
2010-05-01,C,19905257.71,18927460.21,351560.0,626237.5,3121001.19,0.156793
2010-05-01,D,13048999.08,12127237.83,409785.0,511976.25,2862926.96,0.219398
2010-05-01,E,4914572.13,4495607.13,178436.25,240528.75,1409793.14,0.28686
2010-05-01,F,1465933.39,1308577.14,45900.0,111456.25,523615.13,0.357189
2010-05-01,G,471111.43,415436.43,31025.0,24650.0,184929.69,0.392539
2010-06-01,A,14889193.94,14643310.19,175355.0,70528.75,539000.57,0.036201
2010-06-01,B,29902968.98,28846100.23,508193.75,548675.0,2622985.58,0.087717
2010-06-01,C,21076871.19,20005722.44,415352.5,655796.25,3304545.61,0.156785
2010-06-01,D,14135490.06,13100508.81,449862.5,585118.75,3115493.33,0.220402
2010-06-01,E,5608759.78,5167057.28,173973.75,267728.75,1606753.91,0.286472
2010-06-01,F,1741109.61,1518473.36,111180.0,111456.25,609346.16,0.349976
2010-06-01,G,573548.43,517873.43,31025.0,24650.0,223864.53,0.390315
2010-07-01,A,16618088.21,16368591.96,168767.5,80728.75,598452.3,0.036012
2010-07-01,B,32627503.48,31503335.98,504857.5,619310.0,2866060.95,0.087842
2010-07-01,C,22996740.63,21771678.13,539452.5,685610.0,3597824.86,0.156449
2010-07-01,D,15557255.03,14431281.28,503880.0,622093.75,3419075.27,0.219774
2010-07-01,E,6275745.54,5792988.04,209078.75,273678.75,1786434.93,0.284657
2010-07-01,F,2070500.38,1813014.13,133280.0,124206.25,721219.52,0.348331
2010-07-01,G,625401.24,548476.24,52275.0,24650.0,241157.43,0.385604
2010-08-01,A,17448443.26,17185580.76,157058.75,105803.75,635743.6,0.036436
2010-08-01,B,34955892.43,33664338.68,576895.0,714658.75,3100369.57,0.088694
2010-08-01,C,24625634.26,23178679.26,670352.5,776602.5,3880488.98,0.157579
2010-08-01,D,16762524.54,15553569.54,508023.75,700931.25,3696969.63,0.22055
2010-08-01,E,7306587.35,6751622.35,232581.25,322383.75,2081733.25,0.284912
2010-08-01,F,2451451.43,2172715.18,154530.0,124206.25,845040.96,0.34471
2010-08-01,G,892930.99,816005.99,52275.0,24650.0,342841.66,0.383951
2010-09-01,A,18692684.76,18384836.01,152745.0,155103.75,699494.51,0.037421
2010-09-01,B,37095842.45,35665993.7,621690.0,808158.75,3315975.16,0.089389
2010-09-01,C,25986122.43,24354419.93,774265.0,857437.5,4118494.05,0.158488
2010-09-01,D,17956442.7,16632142.7,531058.75,793241.25,3979349.75,0.221611
2010-09-01,E,8320685.37,7677554.12,272191.25,370940.0,2372110.92,0.285086
2010-09-01,F,2646057.06,2367320.81,121380.0,157356.25,924791.65,0.349498
2010-09-01,G,1089334.16,1012409.16,38037.5,38887.5,424535.86,0.389721
2010-10-01,A,20985981.21,20658837.46,172040.0,155103.75,775918.7,0.036973
2010-10-01,B,39742185.68,38205130.68,640538.75,896516.25,3564583.24,0.089693
2010-10-01,C,27454749.71,25697863.46,804673.75,952212.5,4372643.85,0.159267
2010-10-01,D,19130564.18,17675980.43,636267.5,818316.25,4229390.79,0.22108
2010-10-01,E,9326026.41,8617593.91,289467.5,418965.0,2660464.42,0.285273
2010-10-01,F,3078168.43,2769512.18,151300.0,157356.25,1064809.67,0.345923
2010-10-01,G,1263137.57,1178987.57,45262.5,38887.5,489774.74,0.387745
2010-11-01,A,22851193.48,22505562.23,123207.5,222423.75,861702.97,0.037709
2010-11-01,B,41282894.64,39590842.14,657113.75,1034938.75,3753085.33,0.090911
2010-11-01,C,28423072.81,26559256.56,836187.5,1027628.75,4547376.34,0.159989
2010-11-01,D,20030782.37,18448634.87,633186.25,948961.25,4469712.63,0.223142
2010-11-01,E,9921139.11,9112661.61,373362.5,435115.0,2824138.64,0.284659
2010-11-01,F,3346972.63,3027096.38,136340.0,183536.25,1164852.01,0.348032
2010-11-01,G,1553881.52,1462931.52,35275.0,55675.0,607815.16,0.391159
2010-12-01,A,25964040.89,25605872.14,112285.0,245883.75,971426.69,0.037414
2010-12-01,B,43630647.14,41717573.39,856205.0,1056868.75,3968220.57,0.09095
2010-12-01,C,30016405.08,28047146.33,898110.0,1071148.75,4796648.29,0.159801
2010-12-01,D,21363358.27,19698335.77,630041.25,1034981.25,4776198.83,0.22357
2010-12-01,E,11047073.63,10161607.38,443763.75,441702.5,3125713.43,0.282945
2010-12-01,F,3745447.11,3401090.86,100470.0,243886.25,1322767.28,0.353167
2010-12-01,G,1806174.68,1696524.68,53975.0,55675.0,701582.45,0.388436
2011-01-01,A,28491448.71,28083682.46,150853.75,256912.5,1063802.26,0.037338
2011-01-01,B,46120221.12,43973397.37,954550.0,1192273.75,4237949.89,0.091889
2011-01-01,C,31552011.66,29445456.66,799297.5,1307257.5,5118516.04,0.162225
2011-01-01,D,22919339.16,21115830.41,641516.25,1161992.5,5146727.99,0.224558
2011-01-01,E,12240208.63,11297537.38,447163.75,495507.5,3466982.08,0.283245
2011-01-01,F,4227394.26,3829063.01,140845.0,257486.25,1483839.95,0.351006
2011-01-01,G,1925807.51,1803832.51,45050.0,76925.0,756165.8,0.392649
2011-02-01,A,30228629.9,29793238.65,140292.5,295098.75,1136849.06,0.037608
2011-02-01,B,48408053.1,46133878.1,917171.25,1357003.75,4489990.02,0.092753
2011-02-01,C,32820927.64,30615772.64,694875.0,1510280.0,5386534.65,0.164119
2011-02-01,D,24389537.91,22440636.66,716996.25,1231905.0,5475794.1,0.224514
2011-02-01,E,13821870.56,12748639.31,501266.25,571965.0,3920371.38,0.283635
2011-02-01,F,5285715.25,4798729.0,208250.0,278736.25,1835685.87,0.347292
2011-02-01,G,2357916.95,2214691.95,66300.0,76925.0,917988.81,0.389322
2011-03-01,A,33060456.08,32625064.83,140292.5,295098.75,1227562.26,0.037131
2011-03-01,B,52156507.45,49882332.45,917171.25,1357003.75,4776863.46,0.091587
2011-03-01,C,35471461.18,33252706.18,677875.0,1540880.0,5771541.65,0.162709
2011-03-01,D,26753647.87,24783496.62,731021.25,1239130.0,5953370.92,0.222526
2011-03-01,E,16177090.74,15103859.49,501266.25,571965.0,4548880.76,0.281193
2011-03-01,F,6714714.22,6227727.97,208250.0,278736.25,2306079.97,0.343437
2011-03-01,G,2798887.57,2655662.57,66300.0,76925.0,1085595.42,0.387867
2011-04-01,A,34598110.13,34133393.88,153892.5,310823.75,1286738.81,0.037191
2011-04-01,B,55825166.3,53436368.8,876520.0,1512277.5,5129493.07,0.091885
2011-04-01,C,37432750.59,35030140.59,745853.75,1656756.25,6107915.42,0.16317
2011-04-01,D,28631444.72,26485364.72,735080.0,1411000.0,6408772.58,0.223837
2011-04-01,E,18017455.16,16820038.91,499693.75,697722.5,5093682.64,0.282708
2011-04-01,F,7407805.48,6894256.73,213562.5,299986.25,2542314.43,0.343194
2011-04-01,G,3179522.77,3007907.77,94690.0,76925.0,1227042.16,0.38592
2011-05-01,A,36854963.29,36378347.04,140547.5,336068.75,1369559.28,0.037161
2011-05-01,B,59256326.77,56737351.77,899427.5,1619547.5,5448030.4,0.09194
2011-05-01,C,40364643.29,37780345.79,799531.25,1784766.25,6585091.73,0.16314
2011-05-01,D,31098121.3,28820631.3,789756.25,1487733.75,6940059.26,0.223167
2011-05-01,E,20004478.23,18749474.48,504071.25,750932.5,5646529.25,0.282263
2011-05-01,F,8411293.83,7846107.58,256530.0,308656.25,2872906.83,0.341553
2011-05-01,G,3308988.56,3133123.56,84915.0,90950.0,1282706.16,0.387643
2011-06-01,A,39075900.37,38540209.12,190060.0,345631.25,1453067.18,0.037186
2011-06-01,B,62936499.11,60216222.86,879877.5,1840398.75,5836620.1,0.092738
2011-06-01,C,42992253.13,40232324.38,805460.0,1954468.75,7036069.18,0.163659
2011-06-01,D,33162385.0,30705226.25,843731.25,1613427.5,7413150.53,0.223541
2011-06-01,E,21489874.33,20075283.08,555985.0,858606.25,6087598.9,0.283278
2011-06-01,F,9304626.13,8680513.63,302536.25,321576.25,3168708.4,0.340552
2011-06-01,G,3612930.04,3411565.04,110415.0,90950.0,1395331.24,0.386205
2011-07-01,A,41826737.98,41244721.73,187085.0,394931.25,1565285.09,0.037423
2011-07-01,B,67477412.13,64675153.38,841500.0,1960758.75,6238997.23,0.092461
2011-07-01,C,46300279.24,43275235.49,1029562.5,1995481.25,7537191.31,0.162789
2011-07-01,D,35270950.16,32649592.66,929135.0,1692222.5,7874543.28,0.223259
2011-07-01,E,24089836.63,22409832.88,794537.5,885466.25,6787117.45,0.281742
2011-07-01,F,10299760.18,9563936.43,391467.5,344356.25,3498765.57,0.339694
2011-07-01,G,3915433.95,3591392.7,214391.25,109650.0,1505615.38,0.384533
2011-08-01,A,45071980.36,44433269.11,225845.0,412866.25,1684124.66,0.037365
2011-08-01,B,71239844.13,68199542.88,851827.5,2188473.75,6640972.76,0.09322
2011-08-01,C,48918544.12,45646086.62,1137512.5,2134945.0,7980213.09,0.163133
