month_date,grade,dpd_bucket,balance,count,gco_amount,recovery_amount,nco_amount
2011-09-01,B,GCO,2334843.75,257,1984617.19,337384.92,1647232.27
2011-10-01,B,Current,79762121.97,9824,0.0,0.0,0.0
2011-10-01,B,30+,266623.75,32,0.0,0.0,0.0
2011-10-01,B,60+,171487.5,23,0.0,0.0,0.0
2011-10-01,B,90+,182155.0,24,0.0,0.0,0.0
2011-10-01,B,120+,137870.0,19,0.0,0.0,0.0
2011-10-01,B,150+,201301.25,25,0.0,0.0,0.0
2011-10-01,B,180+,123377.5,12,0.0,0.0,0.0
2011-10-01,B,GCO,2395597.5,266,2036257.88,346163.84,1690094.04
2011-11-01,B,Current,85220834.51,10479,0.0,0.0,0.0
2011-11-01,B,30+,230456.25,33,0.0,0.0,0.0
2011-11-01,B,60+,322043.75,38,0.0,0.0,0.0
2011-11-01,B,90+,150237.5,18,0.0,0.0,0.0
2011-11-01,B,120+,185980.0,27,0.0,0.0,0.0
2011-11-01,B,150+,158865.0,21,0.0,0.0,0.0
2011-11-01,B,180+,188211.25,19,0.0,0.0,0.0
2011-11-01,B,GCO,2559307.5,287,2175411.38,369819.93,1805591.44
2011-12-01,B,Current,91935900.51,11125,0.0,0.0,0.0
2011-12-01,B,30+,273275.0,31,0.0,0.0,0.0
2011-12-01,B,60+,250898.75,32,0.0,0.0,0.0
2011-12-01,B,90+,266623.75,32,0.0,0.0,0.0
2011-12-01,B,120+,147092.5,20,0.0,0.0,0.0
2011-12-01,B,150+,193460.0,25,0.0,0.0,0.0
2011-12-01,B,180+,142460.0,20,0.0,0.0,0.0
2011-12-01,B,GCO,2728776.25,304,2319459.81,394308.17,1925151.64
2012-01-01,B,Current,98253451.27,11849,0.0,0.0,0.0
2012-01-01,B,30+,244842.5,24,0.0,0.0,0.0
2012-01-01,B,60+,234345.0,24,0.0,0.0,0.0
2012-01-01,B,90+,230456.25,33,0.0,0.0,0.0
2012-01-01,B,120+,281881.25,36,0.0,0.0,0.0
2012-01-01,B,150+,190400.0,20,0.0,0.0,0.0
2012-01-01,B,180+,185980.0,27,0.0,0.0,0.0
2012-01-01,B,GCO,2906383.75,327,2470426.19,419972.45,2050453.74
2012-02-01,B,Current,104966643.7,12549,0.0,0.0,0.0
2012-02-01,B,30+,397077.5,47,0.0,0.0,0.0
2012-02-01,B,60+,232666.25,25,0.0,0.0,0.0
2012-02-01,B,90+,224166.25,23,0.0,0.0,0.0
2012-02-01,B,120+,263053.75,32,0.0,0.0,0.0
2012-02-01,B,150+,273168.75,37,0.0,0.0,0.0
2012-02-01,B,180+,182495.0,20,0.0,0.0,0.0
2012-02-01,B,GCO,3131718.75,359,2661960.94,452533.36,2209427.58
2012-03-01,B,Current,116308576.54,13475,0.0,0.0,0.0
2012-03-01,B,30+,322723.75,36,0.0,0.0,0.0
2012-03-01,B,60+,281732.5,34,0.0,0.0,0.0
2012-03-01,B,90+,190463.75,21,0.0,0.0,0.0
2012-03-01,B,120+,264265.0,29,0.0,0.0,0.0
2012-03-01,B,150+,221998.75,29,0.0,0.0,0.0
2012-03-01,B,180+,279373.75,33,0.0,0.0,0.0
2012-03-01,B,GCO,3199038.75,368,2719182.94,462261.1,2256921.84
2012-04-01,B,Current,126168763.6,14558,0.0,0.0,0.0
2012-04-01,B,30+,396015.0,44,0.0,0.0,0.0
2012-04-01,B,60+,213116.25,26,0.0,0.0,0.0
