vintage_year,mob,cum_defaults,cohort_size,cum_default_rate,cum_default_amount,cohort_funded,cum_loss_rate
2011,10,857,21721,0.039454905391096175,10481750.0,257363650.0,0.04072739098936466
2011,11,952,21721,0.04382855301321302,11569500.0,257363650.0,0.044953900832537926
2011,12,1062,21721,0.048892776575664106,12812825.0,257363650.0,0.04978490552181709
2011,13,1171,21721,0.05391096174209291,14223700.0,257363650.0,0.05526693454961491
2011,14,1266,21721,0.058284609364209754,15461925.0,257363650.0,0.06007812292062224
2011,15,1375,21721,0.06330279453063856,16888025.0,257363650.0,0.06561930948679039
2011,16,1458,21721,0.067123981400488,18010950.0,257363650.0,0.06998249364275025
2011,17,1553,21721,0.07149762902260486,19237250.0,257363650.0,0.07474734679897492
2011,18,1641,21721,0.07554900787256572,20328225.0,257363650.0,0.07898638754929066
2011,19,1737,21721,0.07996869389070485,21586200.0,257363650.0,0.08387431558419381
2011,20,1828,21721,0.08415818792873256,22667500.0,257363650.0,0.08807576361308211
2011,21,1911,21721,0.08797937479858202,23771450.0,257363650.0,0.09236521940841295
2011,22,2002,21721,0.09216886883660973,24981400.0,257363650.0,0.0970665437795897
2011,23,2087,21721,0.09608213249850375,25896725.0,257363650.0,0.100623087215308
2011,24,2178,21721,0.10027162653653146,26963600.0,257363650.0,0.10476848614790783
2011,25,2264,21721,0.10423092859444777,27890775.0,257363650.0,0.10837107338196361
2011,26,2351,21721,0.10823626904838636,28986800.0,257363650.0,0.11262973617292107
2011,27,2423,21721,0.1115510335619907,29888300.0,257363650.0,0.1161325618439123
2011,28,2480,21721,0.11417522213526081,30560125.0,257363650.0,0.11874297322096575
2011,29,2556,21721,0.11767414023295428,31547000.0,257363650.0,0.12257752794538002
2011,30,2603,21721,0.11983794484600156,32175050.0,257363650.0,0.12501784925726692
2011,31,2653,21721,0.1221398646471157,32763625.0,257363650.0,0.12730478838017723
2011,32,2705,21721,0.1245338612402744,33550400.0,257363650.0,0.13036184402886733
2011,33,2748,21721,0.12651351226923255,34023925.0,257363650.0,0.13220175032488077
2011,34,2798,21721,0.12881543207034668,34704150.0,257363650.0,0.1348448003437937
2011,35,2851,21721,0.13125546705952765,35489650.0,257363650.0,0.13789690191291584
2011,36,2907,21721,0.13383361723677548,36039575.0,257363650.0,0.1400336644277465
2011,37,2938,21721,0.13526080751346622,36548800.0,257363650.0,0.14201228495166276
2011,38,2968,21721,0.1366419593941347,37066175.0,257363650.0,0.14402257272928792
2011,39,2997,21721,0.13797707287878092,37512525.0,257363650.0,0.14575688913333332
2011,40,3021,21721,0.1390819943833157,37913475.0,257363650.0,0.14731480144923342
2011,41,3046,21721,0.14023295428387275,38285825.0,257363650.0,0.14876158696070715
2011,42,3060,21721,0.1408774918281847,38489700.0,257363650.0,0.1495537539975051
2011,43,3081,21721,0.14184429814465263,38759325.0,257363650.0,0.15060139611790554
2011,44,3101,21721,0.14276506606509828,39117750.0,257363650.0,0.151994075309392
2011,45,3123,21721,0.1437779107775885,39475650.0,257363650.0,0.15338471458576222
2011,46,3136,21721,0.1443764099258782,39734775.0,257363650.0,0.1543915584038383
2011,47,3152,21721,0.1451130242622347,40023975.0,257363650.0,0.15551526021642917
2011,48,3170,21721,0.1459417153906358,40319475.0,257363650.0,0.15666344101041463
2011,49,3183,21721,0.14654021453892546,40538650.0,257363650.0,0.15751505700202806
2011,50,3196,21721,0.14713871368721515,40783350.0,257363650.0,0.1584658517238157
2011,51,3212,21721,0.14787532802357164,41047250.0,257363650.0,0.15949124905556786
2011,52,3226,21721,0.1485198655678836,41239950.0,257363650.0,0.16023999504203487
2011,53,3236,21721,0.14898024952810643,41427050.0,257363650.0,0.1609669819339289
2011,54,3245,21721,0.149394595092307,41564825.0,257363650.0,0.1615023139437135
2011,55,3256,21721,0.14990101744855208,41724475.0,257363650.0,0.16212264241667385
2011,56,3259,21721,0.15003913263661894,41756475.0,257363650.0,0.16224698009994806
2011,57,3266,21721,0.1503614014087749,41880250.0,257363650.0,0.1627279143733002
2011,58,3273,21721,0.1506836701809309,41979200.0,257363650.0,0.16311238980329973
2011,59,3279,21721,0.1509599005570646,42119950.0,257363650.0,0.16365928133207622
2011,60,3296,21721,0.1517425532894434,42344875.0,257363650.0,0.16453323925115299
2012,1,76,53367,0.0014241010362208855,955075.0,717942625.0,0.0013302943253996097
2012,2,216,53367,0.004047445050311991,2935000.0,717942625.0,0.004088070408133241
2012,3,377,53367,0.007064290666516761,4982500.0,717942625.0,0.006939969611081387
2012,4,607,53367,0.011374070118237862,8058425.0,717942625.0,0.011224330077908384
2012,5,838,53367,0.015702587741488187,11445500.0,717942625.0,0.01594208172275605
2012,6,1082,53367,0.0202747015946184,14760275.0,717942625.0,0.02055912894153624
2012,7,1343,53367,0.025165364363745387,18463025.0,717942625.0,0.025716574496464813
2012,8,1626,53367,0.030468266906515263,22422025.0,717942625.0,0.03123094272331302
2012,9,1933,53367,0.036220885565986474,26576675.0,717942625.0,0.03701782576288739
2012,10,2256,53367,0.04227331496992524,31034900.0,717942625.0,0.04322754899808324
2012,11,2602,53367,0.048756722319036105,35710550.0,717942625.0,0.04974011676768739
2012,12,2910,53367,0.05452807915003654,39940325.0,717942625.0,0.05563163908815137
2012,13,3213,53367,0.06020574512339086,44319700.0,717942625.0,0.06173153460556824
