month_date,grade,ftr
2012-06-01,C,0.0048037081935812
2012-06-01,D,0.0062151686778144
2012-06-01,E,0.0081609070061553
2012-06-01,F,0.0153736763730439
2012-06-01,G,0.0034555780935645
2012-07-01,A,0.0016510360997004
2012-07-01,B,0.0018060289951589
2012-07-01,C,0.0038061277785928
2012-07-01,D,0.0068533429450134
2012-07-01,E,0.006352775892169
2012-07-01,F,0.00702465596874
2012-07-01,G,0.0035949807206722
2012-08-01,A,0.0010006317976596
2012-08-01,B,0.0023457216000552
2012-08-01,C,0.0039737876431398
2012-08-01,D,0.0070012246761704
2012-08-01,E,0.0081977659452641
2012-08-01,F,0.0086100335679226
2012-08-01,G,0.0048142270252904
2012-09-01,A,0.0014926694466945
2012-09-01,B,0.0036403409331645
2012-09-01,C,0.0033438287301626
2012-09-01,D,0.0087057999910294
2012-09-01,E,0.009147
2012-09-01,F,0.009947
2012-09-01,G,0.015032
2012-10-01,A,0.0017874232135897
2012-10-01,B,0.0033072086813461
2012-10-01,C,0.0033879028640003
2012-10-01,D,0.0055361853758474
2012-10-01,E,0.0055204751015033
2012-10-01,F,0.0133716445146046
2012-10-01,G,0.008937
2012-11-01,A,0.0019112422048495
2012-11-01,B,0.0032207139805598
2012-11-01,C,0.0051795417249999
2012-11-01,D,0.0085515568767121
2012-11-01,E,0.0110428369734896
2012-11-01,F,0.01302237274
2012-11-01,G,0.016343415185
2012-12-01,A,0.0017291421955583
2012-12-01,B,0.0024006445513404
2012-12-01,C,0.004659639544795
2012-12-01,D,0.0070359829680295
2012-12-01,E,0.0080976585
2012-12-01,F,0.0128942776770567
2012-12-01,G,0.0113930406
2013-01-01,A,0.0013154256700799
2013-01-01,B,0.0030513834516248
2013-01-01,C,0.0039647363350049
2013-01-01,D,0.0078561323319807
2013-01-01,E,0.01124490312
2013-01-01,F,0.012689827028
2013-01-01,G,0.014391
2013-02-01,A,0.000684880552289
2013-02-01,B,0.0017639584713034
2013-02-01,C,0.0018294407333434
2013-02-01,D,0.0052564773858324
2013-02-01,E,0.0043007464131844
2013-02-01,F,0.0049091277146563
2013-02-01,G,0.0028352196034274
2013-03-01,A,0.0008647700784191
2013-03-01,B,0.002166315450117
2013-03-01,C,0.002980037269057
2013-03-01,D,0.0061841933687481
2013-03-01,E,0.0099819847510448
2013-03-01,F,0.0095957636595851
2013-03-01,G,0.0127881504008385
2013-04-01,A,0.0015381683004839
2013-04-01,B,0.0024105433037591
2013-04-01,C,0.0038703462321719
2013-04-01,D,0.0074657220879728
2013-04-01,E,0.0069594773285566
2013-04-01,F,0.0138835358565517
2013-04-01,G,0.0105499023399999
2013-05-01,A,0.0013444249756122
2013-05-01,B,0.0019635797670792
2013-05-01,C,0.0038651196316878
2013-05-01,D,0.0056427500657556
2013-05-01,E,0.007085868912468
2013-05-01,F,0.0072128828366991
2013-05-01,G,0.0074841072261963
2013-06-01,A,0.001102433859391
2013-06-01,B,0.0026789072891103
2013-06-01,C,0.0051462225411737
2013-06-01,D,0.00778590066627
2013-06-01,E,0.010529131132
2013-06-01,F,0.013051166847
2013-06-01,G,0.0052515304
2013-07-01,A,0.0015255660852174
2013-07-01,B,0.0027165708141848
2013-07-01,C,0.0050781353618822
2013-07-01,D,0.0082411334313815
2013-07-01,E,0.0105883434836326
2013-07-01,F,0.01204336639376
2013-07-01,G,0.0125018191964096
2013-08-01,A,0.0010468284310168
2013-08-01,B,0.0031362115543251
2013-08-01,C,0.0047385336057401
2013-08-01,D,0.006290330262
2013-08-01,E,0.0107867549335238
2013-08-01,F,0.0095922439666665
2013-08-01,G,0.0062896360232698
2013-09-01,A,0.001436111884
2013-09-01,B,0.0032680154694877
2013-09-01,C,0.0042413264714538
2013-09-01,D,0.0065378255609514
2013-09-01,E,0.0092377700301934
2013-09-01,F,0.0118486854262231
2013-09-01,G,0.009922890705
2013-10-01,A,0.0006772429448553
2013-10-01,B,0.002694018875
2013-10-01,C,0.0041154602362378
2013-10-01,D,0.0076880477143572
2013-10-01,E,0.0084252241890482
2013-10-01,F,0.0167255524795335
2013-10-01,G,0.0137145155730912
2013-11-01,A,0.0013854831271102
2013-11-01,B,0.0025824370400654
2013-11-01,C,0.0039944776398254
2013-11-01,D,0.0084183148174446
2013-11-01,E,0.00945412934
2013-11-01,F,0.0163176195424774
