vintage_year,grade,mob,defaults_at_mob,active_at_mob,marginal_pd
2008,G,41,0,1,0.0
2008,G,42,0,1,0.0
2008,G,43,0,1,0.0
2008,G,44,0,1,0.0
2008,G,45,0,1,0.0
2008,G,46,0,1,0.0
2008,G,47,0,1,0.0
2008,G,48,0,1,0.0
2008,G,49,0,1,0.0
2008,G,50,0,0,0.0
2008,G,51,0,0,0.0
2008,G,52,0,0,0.0
2008,G,53,0,0,0.0
2008,G,54,0,0,0.0
2008,G,55,0,0,0.0
2008,G,56,0,0,0.0
2008,G,57,0,0,0.0
2009,A,1,0,1178,0.0
2009,A,2,0,1173,0.0
2009,A,3,0,1159,0.0
2009,A,4,1,1150,0.0008695652173913044
2009,A,5,2,1143,0.0017497812773403325
2009,A,6,2,1132,0.0017667844522968198
2009,A,7,5,1115,0.004484304932735426
2009,A,8,2,1092,0.0018315018315018315
2009,A,9,6,1074,0.00558659217877095
2009,A,10,4,1056,0.003787878787878788
2009,A,11,5,1043,0.004793863854266539
2009,A,12,1,1026,0.0009746588693957114
2009,A,13,1,1009,0.0009910802775024777
2009,A,14,7,995,0.007035175879396985
2009,A,15,1,973,0.0010277492291880781
2009,A,16,3,956,0.0031380753138075313
2009,A,17,0,935,0.0
2009,A,18,1,913,0.001095290251916758
2009,A,19,4,895,0.004469273743016759
2009,A,20,2,869,0.0023014959723820483
2009,A,21,4,846,0.004728132387706856
2009,A,22,0,816,0.0
2009,A,23,1,794,0.0012594458438287153
2009,A,24,7,775,0.00903225806451613
2009,A,25,2,746,0.002680965147453083
2009,A,26,2,724,0.0027624309392265192
2009,A,27,3,699,0.004291845493562232
2009,A,28,4,669,0.005979073243647235
2009,A,29,1,646,0.0015479876160990713
2009,A,30,0,635,0.0
2009,A,31,2,617,0.0032414910858995136
2009,A,32,1,592,0.0016891891891891893
2009,A,33,1,563,0.0017761989342806395
2009,A,34,4,535,0.007476635514018692
2009,A,35,0,516,0.0
2009,A,36,0,494,0.0
2009,A,37,0,211,0.0
2009,A,38,0,5,0.0
2009,A,39,0,1,0.0
2009,A,40,0,1,0.0
2009,A,41,0,1,0.0
2009,A,42,0,1,0.0
2009,A,43,0,1,0.0
2009,A,44,0,1,0.0
2009,A,45,0,0,0.0
2009,A,46,0,0,0.0
2009,A,47,0,0,0.0
2009,A,48,0,0,0.0
2009,A,49,0,0,0.0
2009,A,50,0,0,0.0
2009,A,51,0,0,0.0
2009,A,52,0,0,0.0
2009,A,53,0,0,0.0
2009,A,54,0,0,0.0
2009,A,55,0,0,0.0
2009,A,56,0,0,0.0
2009,A,57,0,0,0.0
2009,A,58,0,0,0.0
2009,A,59,0,0,0.0
2009,A,60,0,0,0.0
2009,B,1,3,1365,0.002197802197802198
2009,B,2,6,1346,0.004457652303120356
2009,B,3,5,1310,0.003816793893129771
2009,B,4,5,1298,0.003852080123266564
2009,B,5,7,1284,0.005451713395638629
2009,B,6,7,1270,0.005511811023622047
2009,B,7,7,1248,0.005608974358974359
2009,B,8,5,1233,0.0040551500405515
2009,B,9,5,1210,0.004132231404958678
2009,B,10,6,1197,0.005012531328320802
2009,B,11,4,1178,0.003395585738539898
2009,B,12,6,1165,0.005150214592274678
2009,B,13,6,1145,0.005240174672489083
2009,B,14,2,1122,0.0017825311942959
2009,B,15,5,1107,0.004516711833785004
2009,B,16,3,1085,0.0027649769585253456
2009,B,17,5,1066,0.004690431519699813
2009,B,18,5,1026,0.004873294346978557
2009,B,19,8,1001,0.007992007992007992
2009,B,20,5,971,0.005149330587023687
2009,B,21,3,937,0.0032017075773745998
2009,B,22,4,915,0.004371584699453552
2009,B,23,6,891,0.006734006734006734
2009,B,24,3,864,0.003472222222222222
2009,B,25,3,844,0.0035545023696682463
2009,B,26,1,823,0.001215066828675577
2009,B,27,5,801,0.006242197253433208
2009,B,28,3,766,0.0039164490861618795
2009,B,29,4,728,0.005494505494505495
2009,B,30,2,700,0.002857142857142857
2009,B,31,3,677,0.004431314623338257
2009,B,32,3,644,0.004658385093167702
2009,B,33,2,615,0.0032520325203252032
2009,B,34,0,589,0.0
2009,B,35,0,555,0.0
2009,B,36,4,536,0.007462686567164179
2009,B,37,1,231,0.004329004329004329
2009,B,38,0,17,0.0
2009,B,39,0,6,0.0
2009,B,40,0,6,0.0
2009,B,41,0,6,0.0
2009,B,42,0,6,0.0
2009,B,43,0,5,0.0
2009,B,44,0,5,0.0
2009,B,45,0,5,0.0
2009,B,46,1,5,0.2
2009,B,47,0,4,0.0
2009,B,48,0,4,0.0
2009,B,49,1,4,0.25
2009,B,50,0,3,0.0
2009,B,51,1,3,0.3333333333333333
2009,B,52,1,2,0.5
2009,B,53,0,1,0.0
2009,B,54,0,0,0.0
2009,B,55,0,0,0.0
2009,B,56,0,0,0.0
2009,B,57,0,0,0.0
2009,B,58,0,0,0.0
2009,B,59,0,0,0.0
